symbol,date,price
BTC,Aug 2016,575.47
BTC,Sep 2016,609.73
BTC,Oct 2016,700.97
BTC,Nov 2016,745.69
BTC,Dec 2016,963.74
BTC,Jan 2017,970.40
BTC,Feb 2017,1179.97
BTC,Mar 2017,1071.79
BTC,Apr 2017,1347.89
BTC,May 2017,2286.41
BTC,Jun 2017,2480.84
BTC,Jul 2017,2875.34
BTC,Aug 2017,4703.39
BTC,Sep 2017,4338.71
BTC,Oct 2017,6468.40
BTC,Nov 2017,10233.60
BTC,Dec 2017,14156.40
BTC,Jan 2018,10221.10
BTC,Feb 2018,10397.90
BTC,Mar 2018,6973.53
BTC,Apr 2018,9240.55
BTC,May 2018,7494.17
BTC,Jun 2018,6404.00
BTC,Jul 2018,7780.44
BTC,Aug 2018,7037.58
BTC,Sep 2018,6625.56
BTC,Oct 2018,6317.61
BTC,Nov 2018,4017.27
BTC,Dec 2018,3742.70
BTC,Jan 2019,3457.79
BTC,Feb 2019,3854.79
BTC,Mar 2019,4105.40
BTC,Apr 2019,5350.73
BTC,May 2019,8574.50
BTC,Jun 2019,10817.16
BTC,Jul 2019,10085.63
BTC,Aug 2019,9630.66
BTC,Sep 2019,8293.87
BTC,Oct 2019,9199.58
BTC,Nov 2019,7569.63
BTC,Dec 2019,7193.60
BTC,Jan 2020,9350.53
BTC,Feb 2020,8599.51
BTC,Mar 2020,6438.64
BTC,Apr 2020,8658.55
BTC,May 2020,9461.06
BTC,Jun 2020,9137.99
BTC,Jul 2020,11323.47
BTC,Aug 2020,11680.82
BTC,Sep 2020,10787.62
BTC,Oct 2020,13781.00
BTC,Nov 2020,19625.84
BTC,Dec 2020,29001.72
BTC,Jan 2021,33114.36
BTC,Feb 2021,45137.77
BTC,Mar 2021,58918.83
BTC,Apr 2021,57750.18
BTC,May 2021,37332.86
BTC,Jun 2021,35040.84
BTC,Jul 2021,33798.01
BTC,Jul 2021,33689.36
Nasdaq,Aug 2016,5213.22
Nasdaq,Sep 2016,5312.00
Nasdaq,Oct 2016,5189.14
Nasdaq,Nov 2016,5323.68
Nasdaq,Dec 2016,5383.12
Nasdaq,Jan 2017,5614.79
Nasdaq,Feb 2017,5825.44
Nasdaq,Mar 2017,5911.74
Nasdaq,Apr 2017,6047.61
Nasdaq,May 2017,6198.52
Nasdaq,Jun 2017,6140.42
Nasdaq,Jul 2017,6348.12
Nasdaq,Aug 2017,6428.66
Nasdaq,Sep 2017,6495.96
Nasdaq,Oct 2017,6727.67
Nasdaq,Nov 2017,6873.97
Nasdaq,Dec 2017,6903.39
Nasdaq,Jan 2018,7411.48
Nasdaq,Feb 2018,7273.01
Nasdaq,Mar 2018,7063.45
Nasdaq,Apr 2018,7066.27
Nasdaq,May 2018,7442.12
Nasdaq,Jun 2018,7510.30
Nasdaq,Jul 2018,7671.79
Nasdaq,Aug 2018,8109.54
Nasdaq,Sep 2018,8046.35
Nasdaq,Oct 2018,7305.90
Nasdaq,Nov 2018,7330.54
Nasdaq,Dec 2018,6635.28
Nasdaq,Jan 2019,7281.74
Nasdaq,Feb 2019,7532.53
Nasdaq,Mar 2019,7729.32
Nasdaq,Apr 2019,8095.39
Nasdaq,May 2019,7453.15
Nasdaq,Jun 2019,8006.24
Nasdaq,Jul 2019,8175.42
Nasdaq,Aug 2019,7962.88
Nasdaq,Sep 2019,7999.34
Nasdaq,Oct 2019,8292.36
Nasdaq,Nov 2019,8665.47
Nasdaq,Dec 2019,8972.60
Nasdaq,Jan 2020,9150.94
Nasdaq,Feb 2020,8567.37
Nasdaq,Mar 2020,7700.10
Nasdaq,Apr 2020,8889.55
Nasdaq,May 2020,9489.87
Nasdaq,Jun 2020,10058.77
Nasdaq,Jul 2020,10745.27
Nasdaq,Aug 2020,11775.46
Nasdaq,Sep 2020,11167.51
Nasdaq,Oct 2020,10911.59
Nasdaq,Nov 2020,12198.74
Nasdaq,Dec 2020,12888.28
Nasdaq,Jan 2021,13070.69
Nasdaq,Feb 2021,13192.35
Nasdaq,Mar 2021,13246.87
Nasdaq,Apr 2021,13962.68
Nasdaq,May 2021,13748.74
Nasdaq,Jun 2021,14503.95
Nasdaq,Jul 2021,14701.92
Nasdaq,Jul 2021,14701.92
ETH,Aug 2016,11.67
ETH,Sep 2016,13.22
ETH,Oct 2016,11.00
ETH,Nov 2016,8.59
ETH,Dec 2016,7.97
ETH,Jan 2017,10.73
ETH,Feb 2017,15.82
ETH,Mar 2017,50.04
ETH,Apr 2017,79.02
ETH,May 2017,230.67
ETH,Jun 2017,294.92
ETH,Jul 2017,203.87
ETH,Aug 2017,383.04
ETH,Sep 2017,301.46
ETH,Oct 2017,305.88
ETH,Nov 2017,447.11
ETH,Dec 2017,756.73
ETH,Jan 2018,1118.31
ETH,Feb 2018,855.20
ETH,Mar 2018,396.46
ETH,Apr 2018,669.92
ETH,May 2018,577.65
ETH,Jun 2018,455.18
ETH,Jul 2018,433.87
ETH,Aug 2018,283.00
ETH,Sep 2018,232.85
ETH,Oct 2018,197.38
ETH,Nov 2018,113.17
ETH,Dec 2018,133.37
ETH,Jan 2019,107.06
ETH,Feb 2019,136.75
ETH,Mar 2019,141.51
ETH,Apr 2019,162.17
ETH,May 2019,268.11
ETH,Jun 2019,290.70
ETH,Jul 2019,218.65
ETH,Aug 2019,172.47
ETH,Sep 2019,179.87
ETH,Oct 2019,183.97
ETH,Nov 2019,152.54
ETH,Dec 2019,129.61
ETH,Jan 2020,180.16
ETH,Feb 2020,219.85
ETH,Mar 2020,133.59
ETH,Apr 2020,207.60
ETH,May 2020,230.98
ETH,Jun 2020,226.32
ETH,Jul 2020,345.55
ETH,Aug 2020,435.08
ETH,Sep 2020,360.02
ETH,Oct 2020,386.59
ETH,Nov 2020,614.84
ETH,Dec 2020,737.80
ETH,Jan 2021,1314.99
ETH,Feb 2021,1416.05
ETH,Mar 2021,1918.36
ETH,Apr 2021,2773.21
ETH,May 2021,2714.95
ETH,Jun 2021,2274.55
ETH,Jul 2021,2146.69
ETH,Jul 2021,2100.46